name,latitude,longitude,altitude,region,state
Andorra la Vella,42.5,1.5,,,
Escaldes-Engordany,42.5089,1.5408,,,
Encamp,42.5361,1.5828,,,
La Massana,42.5444,1.5144,,,
Sant Julià de Lòria,42.465,1.4911,,,
Canillo,42.5667,1.6,,,
Ordino,42.555,1.5331,,,
Santa Coloma,42.4939,1.4977,,,
Pas de la Casa,42.5423,1.7338,,,
Arinsal,42.5667,1.4833,,,
El Tarter,42.5833,1.65,,,
Vila,42.5333,1.5667,,,
Les Bons,42.5333,1.5833,,,
Soldeu,42.5769,1.6672,,,
Sispony,42.5333,1.5167,,,
La Cortinada,42.5667,1.5167,,,
Aixirivall,42.4667,1.5,,,
Anyós,42.5346,1.5416,,,
Escàs,42.55,1.5167,,,
Erts,42.5636,1.495,,,
Ransol,42.5833,1.6333,,,
Sornàs,42.5667,1.5333,,,
Aubinyà,42.4528,1.493,,,
Arans,42.5833,1.5167,,,
Pal,42.55,1.4833,,,
Llorts,42.6,1.5333,,,
Juberri,42.44,1.5067,,,
El Serrat,42.6167,1.55,,,
La Comella,42.5012,1.5288,,,
Engordany,42.5116,1.5414,,,
Els Vilars,42.5164,1.5336,,,
La Plana,42.5047,1.5386,,,
Ràmio,42.4973,1.574,,,
Engolasters,42.5,1.5667,,,
El Tremat,42.5335,1.5806,,,
Puiol del Piu,42.5667,1.5,,,
El Pui,42.5473,1.5144,,,
L’Aldosa,42.543,1.5237,,,
Mas de Ribafeta,42.5693,1.4886,,,
Xixerella,42.55,1.4833,,,
